Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
1,3,CP-002AHPJCT-ND,CONN PWR JACK 2X5.5MM SOLDER,,3,0,1.44,4.32
2,12,36-1068-ND,HOLDER BATTERY COIN 24.5MM VERT,BATTERYCHARGER: HOLDER,12,0,1.642,19.7
3,3,H2961CT-ND,CONN RECEPT MINI USB2.0 5POS,BATTERYCHARGER: MINIUSB,3,0,0.99,2.97
4,12,455-1704-ND,CONN HEADER PH TOP 2POS 2MM,,12,0,0.162,1.94
5,25,160-1446-1-ND,LED GREEN CLEAR 0603 SMD,BATTERYV1.1: LED1-8,25,0,0.1556,3.89
6,3,863-1512-1-ND,1.6A LINEAR LI-ION CHGR 10TDFN,BATTERYV1.1,3,0,0.94,2.82
7,100,RHM1.5KCECT-ND,RES SMD 1.5K OHM 5% 1/16W 0402,"BATTERYV1.1: R3,R4,R9,R15,R16,R21,R22",100,0,0.0057,0.57
8,10,RHM16.5KCHCT-ND,RES SMD 16.5K OHM 1% 1/8W 0805,BATTERYV1.1: R1,10,0,0.021,0.21
9,20,RHM10KDCT-ND,RES SMD 10K OHM 5% 1/4W 0603,"BATTERYV1.1: R5,R12,R18,R24,",20,0,0.087,1.74
10,10,RHM8.06KCDCT-ND,RES SMD 8.06K OHM 1% 1/16W 0402,BATTERYV1.1: R8,10,0,0.014,0.14
11,10,P4.02KLCT-ND,RES SMD 4.02K OHM 1% 1/10W 0402,BATTERYV1.1: R14,10,0,0.043,0.43
12,10,YAG3048CT-ND,RES SMD 1.87K OHM 1% 1/16W 0402,BATTERYV1.1: R20,10,0,0.013,0.13
13,10,445-2550-1-ND,SENSOR NTC 10K OHM 3380K 0402,"BATTERYV1.1: R6,R11,R17,R23",10,0,0.088,0.88
14,25,490-10693-1-ND,CAP CER 10UF 4V X5R 0402,,25,0,0.18,4.5
15,20,490-6287-1-ND,CAP CER 0.1UF 6.3V X5R 0402,"BATTERYV1.1: C3,C4,C7.C10",20,0,0.035,0.7
